"","csa_code_origin","csa_code_dest","CarrID","yearq","Segid","seg_entry_tplus1","Dist","Dist_sq","pop_origin","pop_dest","ln2002pssgrdens","seg_entry_t","nonstop_comps","orig_share","dest_share","any_origin","any_dest","scheduled_flights","fstseats","busseats","ecoseats","scheduled_aircraft_max_take_off_weight","scheduled_aircraft_hold_volume","scheduled_aircraft_range_stat_miles","capacity_t","capacity_tplus1"
"1",1,2,1,14,1,0,1.83019200745792,3.34960278416286,817973,850541,6.87523208727658,0,0,0.122246037113024,0.000348182067568423,1,1,0,0,0,0,0,0,0,0,0
"2",1,2,2,14,1,0,1.83019200745792,3.34960278416286,817973,850541,6.87523208727658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",1,2,3,14,1,0,1.83019200745792,3.34960278416286,817973,850541,6.87523208727658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",1,2,4,14,1,0,1.83019200745792,3.34960278416286,817973,850541,6.87523208727658,0,0,0.0249991403715887,0.000516997615480386,1,1,0,0,0,0,0,0,0,0,0
"5",1,2,5,14,1,0,1.83019200745792,3.34960278416286,817973,850541,6.87523208727658,0,0,0.0728643964835467,0.0333964633142712,1,1,0,0,0,0,0,0,0,0,0
"6",1,2,6,14,1,0,1.83019200745792,3.34960278416286,817973,850541,6.87523208727658,0,0,0.0603539376712093,0,1,0,0,0,0,0,0,0,0,0,0
"7",1,2,7,14,1,0,1.83019200745792,3.34960278416286,817973,850541,6.87523208727658,0,0,0.0282279046844018,0.0700030597818059,1,1,0,0,0,0,0,0,0,0,0
"8",1,2,8,14,1,0,1.83019200745792,3.34960278416286,817973,850541,6.87523208727658,0,0,0.130170664893922,0.430054970562789,1,1,0,0,0,0,0,0,0,0,0
"9",1,2,9,14,1,0,1.83019200745792,3.34960278416286,817973,850541,6.87523208727658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",1,2,10,14,1,0,1.83019200745792,3.34960278416286,817973,850541,6.87523208727658,0,0,0.0375565922037434,0.0494497668235244,1,1,0,0,0,0,0,0,0,0,0
"11",1,2,11,14,1,0,1.83019200745792,3.34960278416286,817973,850541,6.87523208727658,0,0,0.000182241223193921,0.0843233661820254,1,1,0,0,0,0,0,0,0,0,0
"12",1,2,12,14,1,0,1.83019200745792,3.34960278416286,817973,850541,6.87523208727658,0,0,0.52339908535537,0.331907193652535,1,1,0,0,0,0,0,0,0,0,0
"13",1,3,1,14,2,0,2.61523791841219,6.83946936990091,817973,359341,0,0,0,0.122246037113024,0.0325139192800422,1,1,0,0,0,0,0,0,0,0,0
