"","csa_code_origin","csa_code_dest","CarrID","yearq","Segid","seg_entry_tplus1","Dist","Dist_sq","pop_origin","pop_dest","ln2002pssgrdens","seg_entry_t","nonstop_comps","orig_share","dest_share","any_origin","any_dest","scheduled_flights","fstseats","busseats","ecoseats","scheduled_aircraft_max_take_off_weight","scheduled_aircraft_hold_volume","scheduled_aircraft_range_stat_miles","capacity_t","capacity_tplus1"
"31",1,4,7,15,3,1,1.26703549869233,1.60537895494653,817973,5119641,11.392688170082,1,3,0.0277575708511389,0.0164167762773961,1,1,11,12.5454545454545,0,141.636363636364,78.8181818181818,39.4545454545455,3493,11,9
"32",1,4,8,15,3,1,1.26703549869233,1.60537895494653,817973,5119641,11.392688170082,1,3,0.131846437637698,0.296538066861303,1,1,6,14.6666666666667,0,130.666666666667,69,38.3333333333333,3162.66666666667,6,6
"33",1,4,9,15,3,0,1.26703549869233,1.60537895494653,817973,5119641,11.392688170082,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",1,4,10,15,3,0,1.26703549869233,1.60537895494653,817973,5119641,11.392688170082,0,3,0.0291488611196244,0.00903719425228651,1,1,0,0,0,0,0,0,0,0,0
"35",1,4,11,15,3,0,1.26703549869233,1.60537895494653,817973,5119641,11.392688170082,0,3,0.000485737250842812,0.00047803798311843,1,1,0,0,0,0,0,0,0,0,0
"36",1,4,12,15,3,0,1.26703549869233,1.60537895494653,817973,5119641,11.392688170082,0,3,0.527414663482389,0,1,0,0,0,0,0,0,0,0,0,0
"37",1,5,1,15,4,0,0.612831042844455,0.375561887073822,817973,1528958,8.59081533128685,0,2,0.122288978968734,0.259171518254575,1,1,0,0,0,0,0,0,0,0,0
"38",1,5,2,15,4,0,0.612831042844455,0.375561887073822,817973,1528958,8.59081533128685,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",1,5,3,15,4,0,0.612831042844455,0.375561887073822,817973,1528958,8.59081533128685,0,2,0,0.0267609344211778,0,1,0,0,0,0,0,0,0,0,0
"40",1,5,4,15,4,1,0.612831042844455,0.375561887073822,817973,1528958,8.59081533128685,1,2,0.0268242614191623,0.113917455120584,1,1,0,0,0,0,0,0,0,0,0
"41",1,5,5,15,4,0,0.612831042844455,0.375561887073822,817973,1528958,8.59081533128685,0,2,0.0730201870088416,0.0380061844987027,1,1,0,0,0,0,0,0,0,0,0
"42",1,5,6,15,4,0,0.612831042844455,0.375561887073822,817973,1528958,8.59081533128685,0,2,0.0612133022615695,0.011214142885056,1,1,0,0,0,0,0,0,0,0,0
"43",1,5,7,15,4,0,0.612831042844455,0.375561887073822,817973,1528958,8.59081533128685,0,2,0.0277575708511389,0.0186701480799571,1,1,0,0,0,0,0,0,0,0,0
"44",1,5,8,15,4,0,0.612831042844455,0.375561887073822,817973,1528958,8.59081533128685,1,2,0.131846437637698,0.173503282294855,1,1,0,0,0,0,0,0,0,0,0
"45",1,5,9,15,4,0,0.612831042844455,0.375561887073822,817973,1528958,8.59081533128685,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",1,5,10,15,4,0,0.612831042844455,0.375561887073822,817973,1528958,8.59081533128685,0,2,0.0291488611196244,0.0202682800930494,1,1,0,0,0,0,0,0,0,0,0
"47",1,5,11,15,4,0,0.612831042844455,0.375561887073822,817973,1528958,8.59081533128685,0,2,0.000485737250842812,0,1,0,0,0,0,0,0,0,0,0,0
"48",1,5,12,15,4,0,0.612831042844455,0.375561887073822,817973,1528958,8.59081533128685,1,2,0.527414663482389,0.338488054352042,1,1,0,0,0,0,0,0,0,0,0
"49",1,6,1,15,5,0,1.88349313735597,3.54754639846704,817973,1182625,5.59842195899838,0,2,0.122288978968734,0.11024445039149,1,1,0,0,0,0,0,0,0,0,0
"50",1,6,2,15,5,0,1.88349313735597,3.54754639846704,817973,1182625,5.59842195899838,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",1,6,3,15,5,0,1.88349313735597,3.54754639846704,817973,1182625,5.59842195899838,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",1,6,4,15,5,0,1.88349313735597,3.54754639846704,817973,1182625,5.59842195899838,0,2,0.0268242614191623,0.0167725840667917,1,1,0,0,0,0,0,0,0,0,0
"53",1,6,5,15,5,0,1.88349313735597,3.54754639846704,817973,1182625,5.59842195899838,0,2,0.0730201870088416,0.212498291500459,1,1,0,0,0,0,0,0,0,0,0
"54",1,6,6,15,5,0,1.88349313735597,3.54754639846704,817973,1182625,5.59842195899838,0,2,0.0612133022615695,0.0140355390875981,1,1,0,0,0,0,0,0,0,0,0
"55",1,6,7,15,5,0,1.88349313735597,3.54754639846704,817973,1182625,5.59842195899838,0,2,0.0277575708511389,0.0754714597305222,1,1,0,0,0,0,0,0,0,0,0
"56",1,6,8,15,5,0,1.88349313735597,3.54754639846704,817973,1182625,5.59842195899838,0,2,0.131846437637698,0.174811375907802,1,1,0,0,0,0,0,0,0,0,0
"57",1,6,9,15,5,0,1.88349313735597,3.54754639846704,817973,1182625,5.59842195899838,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",1,6,10,15,5,0,1.88349313735597,3.54754639846704,817973,1182625,5.59842195899838,0,2,0.0291488611196244,0.0871845880132821,1,1,0,0,0,0,0,0,0,0,0
"59",1,6,11,15,5,0,1.88349313735597,3.54754639846704,817973,1182625,5.59842195899838,0,2,0.000485737250842812,0.0961411456078066,1,1,0,0,0,0,0,0,0,0,0
"60",1,6,12,15,5,0,1.88349313735597,3.54754639846704,817973,1182625,5.59842195899838,0,2,0.527414663482389,0.212840565694248,1,1,0,0,0,0,0,0,0,0,0
"61",1,7,1,15,6,0,1.13622840705898,1.2910149930078,817973,1103572,2.484906649788,0,0,0.122288978968734,0.0684715867333634,1,1,0,0,0,0,0,0,0,0,0
"62",1,7,2,15,6,0,1.13622840705898,1.2910149930078,817973,1103572,2.484906649788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63",1,7,3,15,6,0,1.13622840705898,1.2910149930078,817973,1103572,2.484906649788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64",1,7,4,15,6,0,1.13622840705898,1.2910149930078,817973,1103572,2.484906649788,0,0,0.0268242614191623,0.0205969512339679,1,1,0,0,0,0,0,0,0,0,0
"65",1,7,5,15,6,0,1.13622840705898,1.2910149930078,817973,1103572,2.484906649788,0,0,0.0730201870088416,0.130976031862687,1,1,0,0,0,0,0,0,0,0,0
"66",1,7,6,15,6,0,1.13622840705898,1.2910149930078,817973,1103572,2.484906649788,0,0,0.0612133022615695,0,1,0,0,0,0,0,0,0,0,0,0
"67",1,7,7,15,6,0,1.13622840705898,1.2910149930078,817973,1103572,2.484906649788,0,0,0.0277575708511389,0.0368791636044665,1,1,0,0,0,0,0,0,0,0,0
"68",1,7,8,15,6,0,1.13622840705898,1.2910149930078,817973,1103572,2.484906649788,0,0,0.131846437637698,0.335824186244992,1,1,0,0,0,0,0,0,0,0,0
"69",1,7,9,15,6,0,1.13622840705898,1.2910149930078,817973,1103572,2.484906649788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70",1,7,10,15,6,0,1.13622840705898,1.2910149930078,817973,1103572,2.484906649788,0,0,0.0291488611196244,0.000279746805433726,1,1,0,0,0,0,0,0,0,0,0
"71",1,7,11,15,6,0,1.13622840705898,1.2910149930078,817973,1103572,2.484906649788,0,0,0.000485737250842812,0,1,0,0,0,0,0,0,0,0,0,0
"72",1,7,12,15,6,0,1.13622840705898,1.2910149930078,817973,1103572,2.484906649788,0,0,0.527414663482389,0.40697233351509,1,1,0,0,0,0,0,0,0,0,0
"73",1,8,1,15,7,0,1.12042529182104,1.25535283455226,817973,1489156,4.06044301054642,0,1,0.122288978968734,0.0884048841576067,1,1,0,0,0,0,0,0,0,0,0
"74",1,8,2,15,7,0,1.12042529182104,1.25535283455226,817973,1489156,4.06044301054642,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"75",1,8,3,15,7,0,1.12042529182104,1.25535283455226,817973,1489156,4.06044301054642,0,1,0,0.00440272094045563,0,1,0,0,0,0,0,0,0,0,0
"76",1,8,4,15,7,0,1.12042529182104,1.25535283455226,817973,1489156,4.06044301054642,0,1,0.0268242614191623,0,1,0,0,0,0,0,0,0,0,0,0
"77",1,8,5,15,7,0,1.12042529182104,1.25535283455226,817973,1489156,4.06044301054642,0,1,0.0730201870088416,0.0492909874512256,1,1,0,0,0,0,0,0,0,0,0
"78",1,8,6,15,7,0,1.12042529182104,1.25535283455226,817973,1489156,4.06044301054642,0,1,0.0612133022615695,0,1,0,0,0,0,0,0,0,0,0,0
"79",1,8,7,15,7,0,1.12042529182104,1.25535283455226,817973,1489156,4.06044301054642,0,1,0.0277575708511389,0.0637877146789088,1,1,0,0,0,0,0,0,0,0,0
"80",1,8,8,15,7,0,1.12042529182104,1.25535283455226,817973,1489156,4.06044301054642,0,1,0.131846437637698,0.227353820449955,1,1,0,0,0,0,0,0,0,0,0
"81",1,8,9,15,7,0,1.12042529182104,1.25535283455226,817973,1489156,4.06044301054642,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"82",1,8,10,15,7,0,1.12042529182104,1.25535283455226,817973,1489156,4.06044301054642,0,1,0.0291488611196244,0,1,0,0,0,0,0,0,0,0,0,0
"83",1,8,11,15,7,0,1.12042529182104,1.25535283455226,817973,1489156,4.06044301054642,0,1,0.000485737250842812,0.0190814786616453,1,1,0,0,0,0,0,0,0,0,0
"84",1,8,12,15,7,0,1.12042529182104,1.25535283455226,817973,1489156,4.06044301054642,1,1,0.527414663482389,0.547678393660203,1,1,0,0,0,0,0,0,0,0,0
"85",1,9,1,15,8,0,0.781021691877248,0.609994883182799,817973,566842,7.56371966841437,0,2,0.122288978968734,0,1,0,0,0,0,0,0,0,0,0,0
"86",1,9,2,15,8,0,0.781021691877248,0.609994883182799,817973,566842,7.56371966841437,0,2,0,0.0221785857925425,0,1,0,0,0,0,0,0,0,0,0
"87",1,9,3,15,8,0,0.781021691877248,0.609994883182799,817973,566842,7.56371966841437,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"88",1,9,4,15,8,0,0.781021691877248,0.609994883182799,817973,566842,7.56371966841437,0,2,0.0268242614191623,0,1,0,0,0,0,0,0,0,0,0,0
"89",1,9,5,15,8,0,0.781021691877248,0.609994883182799,817973,566842,7.56371966841437,0,2,0.0730201870088416,0.0631762780324033,1,1,0,0,0,0,0,0,0,0,0
"90",1,9,6,15,8,0,0.781021691877248,0.609994883182799,817973,566842,7.56371966841437,0,2,0.0612133022615695,0.0289276550533065,1,1,0,0,0,0,0,0,0,0,0
"91",1,9,7,15,8,0,0.781021691877248,0.609994883182799,817973,566842,7.56371966841437,0,2,0.0277575708511389,0.0654152140108785,1,1,0,0,0,0,0,0,0,0,0
"92",1,9,8,15,8,0,0.781021691877248,0.609994883182799,817973,566842,7.56371966841437,1,2,0.131846437637698,0.412624501831368,1,1,0,0,0,0,0,0,0,0,0
"93",1,9,9,15,8,0,0.781021691877248,0.609994883182799,817973,566842,7.56371966841437,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"94",1,9,10,15,8,0,0.781021691877248,0.609994883182799,817973,566842,7.56371966841437,0,2,0.0291488611196244,0.0688005024163733,1,1,0,0,0,0,0,0,0,0,0
"95",1,9,11,15,8,0,0.781021691877248,0.609994883182799,817973,566842,7.56371966841437,0,2,0.000485737250842812,0,1,0,0,0,0,0,0,0,0,0,0
"96",1,9,12,15,8,0,0.781021691877248,0.609994883182799,817973,566842,7.56371966841437,0,2,0.527414663482389,0.338877262863128,1,1,0,0,0,0,0,0,0,0,0
"97",1,10,1,15,9,0,1.96881762763535,3.87624285088768,817973,4473477,7.31721240835984,0,3,0.122288978968734,0.112379590529079,1,1,0,0,0,0,0,0,0,0,0
"98",1,10,2,15,9,0,1.96881762763535,3.87624285088768,817973,4473477,7.31721240835984,0,3,0,0.00701652408039477,0,1,0,0,0,0,0,0,0,0,0
"99",1,10,3,15,9,0,1.96881762763535,3.87624285088768,817973,4473477,7.31721240835984,0,3,0,0.081482843915139,0,1,0,0,0,0,0,0,0,0,0
"100",1,10,4,15,9,0,1.96881762763535,3.87624285088768,817973,4473477,7.31721240835984,0,3,0.0268242614191623,0.0397438095299976,1,1,0,0,0,0,0,0,0,0,0
"101",1,10,5,15,9,0,1.96881762763535,3.87624285088768,817973,4473477,7.31721240835984,0,3,0.0730201870088416,0.106076539264496,1,1,0,0,0,0,0,0,0,0,0
